job_id,title,company,scale,salary,experience,education,location,keyword,city,city_code,url,jd,confirmed,performed,button_text,confirmed_at,source_run_id
210d019ddf4a346a03162tm7EVJY,python开发工程师,每日互动,,15-25K·14薪,1-3年,本科,杭州西湖区每日金座南楼,Python开发工程师,杭州,101210100,https://www.zhipin.com/job_detail/210d019ddf4a346a03162tm7EVJY.html,"岗位职责：
实验室研究型岗位，正常数据性研究工作，帮助团队攻克各种爬虫技术难关，提升海量数据系统的抓取效果与性能。
1. 负责爬取互联网上允许搜索爬虫⾤集的公开数据的爬取，清洗，结构化，⼊库；
2. 负责分布式⽹络爬虫系统的设计与开发；
3. 负责爬虫的性能优化，如处理性能，爬取策略，占⽤带宽，反爬虫机制等方面；
4. 负责破解各类反爬机制，如APP反编译、逆向分析、脱壳、加密参数破解、APP渗透、.so反汇编等；
5. 可以承担部分爬虫接口服务开发工作；
6. 编写开发文档，可供其他开发同事进行后续开发支持。
任职要求：
1. 对Python开发有浓厚兴趣，具备良好的编程习惯；
2. 熟悉网络爬虫技术，有相关开发经验者优先；
3. 能够独立解决技术难题，具备良好的团队合作精神和沟通能力；
4. 对数据敏感，能够高效处理和分析数据；
5. 有责任心，能够承担项目开发任务；
6.有后端开发能力者优先。",True,True,继续沟通,1782714929.971101,d1388d9352974aeeb30ee26e0dd97ba2
afea5a4260ccb25d0nV93dy7EFFQ,python开发工程师,江苏达科,,10-12K·13薪,1-3年,本科,杭州萧山区中国移动浙江信息通信产业园浙江省杭州市萧山区高新七路与鸿兴路交叉口南150米中国移动浙江信息通信产业园,Python开发工程师,杭州,101210100,https://www.zhipin.com/job_detail/afea5a4260ccb25d0nV93dy7EFFQ.html,"岗位职责：
1. 负责业务实现，完成API接口设计、开发及性能优化.
2. 参与架构设计与实现, 参与制定开发规范和最佳实践.
3. 能在AI帮助下开发简单的web页面.
4. 协助完成数据处理和分析、编写自动化脚本等任务.
5. 参与MCP的设计与实现, RAG的调优, skill的实现，参与构建多轮对话系统
6. 参与完成从需求到交付的所有环节，在AI辅助下参与产品设计、开发、测试、发布等环节的整个过程.
7. 跟踪业界技术动态，探索Python在AI/大数据/Web等领域的应用.
任职要求：
1. 精通Python基础语法，有⾃学或项⽬经验优先.
2. 熟悉Python常⽤库（如fastapi/sqlalchemy/pydantic/langchain等）.
3. 熟悉数据库（MySQL/PostgreSQL/等），时序库(promethus/InfluxDB)，掌握SQL使用和优化技巧.
4. 了解常用数据结构、算法及多线程/异步编程（如asyncio）.
5. 在AI的辅助下了解基础的Web开发(tailwindcss, react, svelte), 掌握更好.
6. 熟练使⽤开发工具，掌握Git、Docker、Vscode等工具.
7. 熟悉Linux开发环境，了解docker, k8s, 虚拟机的基本概念.
8. 会使用AI开发工具, claude code等.",True,True,继续沟通,1782714941.818014,d1388d9352974aeeb30ee26e0dd97ba2
29c1867acd2a588f0HZy3NW9GFc~,Python开发工程师,安恒信息,,18-24K,1-3年,本科,杭州滨江区安恒大厦,Python开发工程师,杭州,101210100,https://www.zhipin.com/job_detail/29c1867acd2a588f0HZy3NW9GFc~.html,"1. 参与防火墙后台服务控制引擎的开发和维护
2. 参与防火墙南北向接口的开发与维护
3. 与其它层面模块开发人员沟通共同完成产品版本研发
4. 赋能和协助运营团队解决项目问题
要求:
1. 两年以上相关开发经验
2. 精通python，连接go/php其中至少一种
3. 熟悉RESTful API的设计与集成
4. 熟悉linux
5. 熟悉容器技术
6. 了解微服务并有相关工作实践
7. 良好的文档编写与沟通能力
8. 学习能力，工作态度，责任心",True,True,继续沟通,1782714953.5727308,d1388d9352974aeeb30ee26e0dd97ba2
b801e3907ae639080nB839m6GFJQ,python开发工程师 双休！！五险一金！！,杭州海智拓信息科技,,14-15K,1-3年,本科,杭州余杭区阿里巴巴西溪园区C区1楼,Python开发工程师,杭州,101210100,https://www.zhipin.com/job_detail/b801e3907ae639080nB839m6GFJQ.html,"岗位职责
    负责视频录制相关脚本的开发与维护
    负责视频数据处理、清洗、统计及结果输出
    负责视频数据质检规则实现、质检脚本开发及异常数据排查
    负责批量任务执行、日志分析及相关自动化工具开发
    配合项⽬团队完成需求沟通、功能交付及问题修复
任职要求
    2年以上 Python 开发经验，具备较强脚本开发能⼒
    熟悉 Python 常⽤开发库及数据处理工具，具备良好的编码能力
    有数据处理、⾃动化脚本、批处理任务开发经验
    能独立完成需求理解、开发、自测和交付
    具备良好的沟通能力和责任心
优先条件
    有 ffmpeg、opencv、视频处理相关经验
    有日志分析、数据质检、规则校验相关经验",True,True,继续沟通,1782714965.404433,d1388d9352974aeeb30ee26e0dd97ba2
feb3fe823540b7ee03Z83d67EVtQ,开发工程师（Python方向）,杭州尽欢网络科技,,15-30K,1-3年,本科,杭州余杭区中国(杭州)算力小镇B幢413,Python开发工程师,杭州,101210100,https://www.zhipin.com/job_detail/feb3fe823540b7ee03Z83d67EVtQ.html,"岗位职责：
业务逻辑与API开发
快速迭代Python服务（如用户中心、营销工具链、数据报表）；
设计RESTful/GraphQL API，与前端/移动端团队紧密协作；
基于Django/Flask/FastAPI构建服务，集成机器学习模型（如推荐系统）；
使用Celery/RabbitMQ实现异步任务队列，提升系统吞吐量；
设计数据库读写分离方案，支撑业务快速增长；
质量保障
构建自动化测试体系（单元测试+集成测试），推动测试覆盖率提升。
任职要求
有电商/社交/数据平台项目经验；
精通Django/FastAPI，熟悉异步编程（asyncio/gevent）；
有Redis/Kafka实战经验，熟悉消息队列应用场景；
有图像算法经验优先。",True,True,继续沟通,1782714976.564563,d1388d9352974aeeb30ee26e0dd97ba2
f6b76efdfae28f2003J72ti6E1VV,python 开发工程师,新华三技术有限公司,,10-11K,1-3年,本科,杭州滨江区新华三集团长河路466号,Python开发工程师,杭州,101210100,https://www.zhipin.com/job_detail/f6b76efdfae28f2003J72ti6E1VV.html,"1、熟练使用python、shell等编程语言，熟练使用pytest框架进行自动化测试例编程；
2、熟悉自动化测试、性能测试、可靠性压力测试等优先；
3、熟悉交换机路由器等网络设备者优先；
4、熟悉Robot Framework优先；
重点是熟练使用python开发，我们主要招的是个开发人员",True,True,继续沟通,1782714988.451466,d1388d9352974aeeb30ee26e0dd97ba2
9b82917529b932d11nFz39q9ElJR,Python开发工程师,三汇数字,,12-13K,1-3年,本科,杭州滨江区三汇研发中心,Python开发工程师,杭州,101210100,https://www.zhipin.com/job_detail/9b82917529b932d11nFz39q9ElJR.html,1年以上python开发工作经验,True,True,继续沟通,1782714999.588328,d1388d9352974aeeb30ee26e0dd97ba2
e47c8ff7e2a4634d1Xxy3t-_EVZV,python开发工程师（AI方向）,中控信息,,10-14K,1-3年,本科,杭州滨江区中控信息大厦中控信息大厦A栋,Python开发工程师,杭州,101210100,https://www.zhipin.com/job_detail/e47c8ff7e2a4634d1Xxy3t-_EVZV.html,"岗位职责：
1、参与产品需求分析和功能设计，并根据功需求编写开发文档；
2、使用python等编程语言及框架，开发、优化和应用各种算法模型；
3、负责数据预处理、特征工程、模型训练和调优等工作；
4、负责跟进算法相关的项目实施，对算法模型进行测试、验证和优化，确保其准确性和稳定性；
5、完成上级安排的其他工作任务；
任职资格:
1、本科及以上学历，计算机、水环境、水利等学科相关背景或具有水行业相关研究经验优先；
2、有一定的产品思维，关注业务需求，能够理解及处理复杂的逻辑；
3、具备极强的数理基础和编程能力，熟悉深度学习框架（如TensorFlow、PyTorch）和循环神经网络（RNN、LSTM），掌握GPU加速；
4、能独立完成模块开发工作，具备较强的工程实现能力，并能顺利与业务部门对接；
5、工作认真，学习能力强，富有创新意识，有良好的沟通能力和团队协作精神；",True,True,继续沟通,1782715010.8232262,d1388d9352974aeeb30ee26e0dd97ba2
cb4df1bfbf8994270nB90ti4FVBX,Agent方向Python研发工程师,掌中云,,15-30K,1-3年,本科,杭州西湖区益展商务大厦10楼,Python开发工程师,杭州,101210100,https://www.zhipin.com/job_detail/cb4df1bfbf8994270nB90ti4FVBX.html,"base地：杭州/福州
薪酬区间：15-30k
Agent方向Python研发工程师JD
岗位名称
Agent方向Python研发工程师
⼯作地点
【可根据需求补充】
岗位职责
1、负责掌中云⼤模型⽹关系统、翻译系统、aigc系统、客服系统的设计、开发与迭代优化，搭建稳定、高效、可扩展的大模型请求调度、限流、熔断、负载均衡及监控体系，⽀撑各类大模型业务场景稳定落地。
2、负责相关AI Agent核心模块研发工作，参与Agent智能决策、任务规划、工具调用、记忆管理、多轮对话链路等核心能力的设计与开发，持续优化Agent自主执行、复杂任务拆解与落地能力。
3、对接各类大模型底座、第三方工具插件及业务系统，完成Agent与大模型网关的深度联动开发，打通模型调用、任务流转、结果反馈的全链路流程。
4、持续调研前沿的大模型Agent框架、网关调度技术，针对业务场景进行技术优化和创新，解决高并发、高可用、智能推理准确性等核心技术问题。
5、配合产品、算法团队完成需求拆解、技术方案落地、功能迭代及问题复盘，保障AI Agent相关业务高效、稳定运行。
任职要求
1、学历专业：本科及以上学历，计算机、人工智能、软件工程、大数据、自动化等相关专业。
2、工作经验：1年及以上Python后端/AI研发相关工作经验，有大模型网关、AI Agent实际项目研发经验者优先。
3、技术能力：熟练掌握Python编程语言及FastAPI/Flask等主流Web开发框架，熟悉后端接口开发、服务部署、性能优化等基础技术。
4、熟悉大模型调用流程，了解大模型网关核心功能（限流、熔断、负载均衡、路由分发、日志监控等），有相关系统开发落地经验优先。
5、了解主流AI Agent技术体系，熟悉Agent任务编排、工具调用、记忆机制、Prompt工程等相关技术，有Agent框架二次开发或独立模块研发经验优先。
6、熟悉常用数据库（MySQL、Redis）、消息队列等中间件，具备高并发服务开发、问题排查及性能优化能力。
7、具备良好的代码规范、逻辑思维能力和团队协作能力，善于学习前沿AI技术，能快速适配业务需求迭代。
优先条件
1、有LLM大模型应用开发、大模型网关搭建、智能Agent落地项目经验者优先。
2、熟悉LangChain、LlamaIndex、AutoGPT等主流Agent框架者优先。
3、有AI工具插件开发、多Agent协作、复杂任务智能拆解落地经验者优先。
薪资福利
1、极具竞争力的薪资+绩效奖金+年终奖金，根据个人能力匹配薪资档位。
2、完善的社保公积金、带薪年假、节日福利、定期体检、下午茶、团队团建等基础福利。
3、专注AI大模型赛道，接触前沿Agent技术与业务场景，拥有充足的技术成长空间和项目落地机会。
4、扁平化管理、自由开放的技术氛围，鼓励技术创新和方案优化，支持个人技术深耕。",True,True,继续沟通,1782715022.5892348,d1388d9352974aeeb30ee26e0dd97ba2
e1c06a6605b1e59b1nV709u1GVNR,linux产品开发工程师,浙江大华,,12-20K·14薪,1-3年,本科,正在加载中...,Python开发工程师,杭州,101210100,https://www.zhipin.com/job_detail/e1c06a6605b1e59b1nV709u1GVNR.html,"职责描述：
1、负责云存储产品化演进架构设计和开发、软硬件集成、产品性能调优；
2、负责云存储容器化和超融合产品方案设计、落地和演进完善；
3、负责协助产品经理进行存储领域各种硬件选型、评估；
4、支撑运维人员快速解决市场上产品问题；
 
岗位要求：
1、熟悉Linux操作系统，了解操作系统启动流程，熟悉操作系统的常见配置；
2、熟悉Linux常见工具，能定位常见系统性能瓶颈问题； 
3、能熟练使用Shell或Python脚本语言，熟练掌握各种linux命令;
4、了解Linux内核，能正确理解Linux内核与操作系统的关系; 
5、了解计算机硬件组成，了解常见计算机常见接口和协议； 
 
具备以下任一条件者优先： 
1、有docker、k8s使用经验 
2、对网络原理有较深入理解
3、熟悉硬盘、SSD等存储介质，了解其主要技术参数及使用场景 
4、熟悉Linux内核，有过内核、linux嵌入式开发经验",True,True,继续沟通,1782715033.820684,d1388d9352974aeeb30ee26e0dd97ba2
